Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Owner,Depreciation_Ratio,Age,Fuel_Type__Diesel,Fuel_Type__Petrol
ritz,2014,3.35,5.59,27000,0,40.07155635062611,9,0,1
sx4,2013,4.75,9.54,43000,0,50.20964360587001,10,1,0
ciaz,2017,7.25,9.85,6900,0,26.395939086294412,6,0,1
wagon r,2011,2.85,4.15,5200,0,31.325301204819283,12,0,1
swift,2014,4.6,6.87,42450,0,33.04221251819506,9,1,0
vitara brezza,2018,9.25,9.83,2071,0,5.900305188199391,5,1,0
ciaz,2015,6.75,8.12,18796,0,16.871921182266004,8,0,1
s cross,2015,6.5,8.61,33429,0,24.506387921022064,8,1,0
ciaz,2016,8.75,8.89,20273,0,1.5748031496063055,7,1,0
ciaz,2015,7.45,8.92,42367,0,16.479820627802688,8,1,0
alto 800,2017,2.85,3.6,2135,0,20.833333333333332,6,0,1
ciaz,2015,6.85,10.38,51000,0,34.00770712909442,8,1,0
ciaz,2015,7.5,9.94,15000,0,24.547283702213278,8,0,1
ertiga,2015,6.1,7.71,26000,0,20.881971465629057,8,0,1
dzire,2009,2.25,7.21,77427,0,68.79334257975034,14,0,1
ertiga,2016,7.75,10.79,43000,0,28.17423540315106,7,1,0
ertiga,2015,7.25,10.79,41678,0,32.80815569972196,8,1,0
ertiga,2016,7.75,10.79,43000,0,28.17423540315106,7,1,0
wagon r,2015,3.25,5.09,35500,0,36.149312377210215,8,0,0
sx4,2010,2.65,7.98,41442,0,66.79197994987469,13,0,1
alto k10,2016,2.85,3.95,25000,0,27.848101265822784,7,0,1
ignis,2017,4.9,5.71,2400,0,14.185639229422058,6,0,1
sx4,2011,4.4,8.01,50000,0,45.06866416978776,12,0,1
alto k10,2014,2.5,3.46,45280,0,27.74566473988439,9,0,1
wagon r,2013,2.9,4.41,56879,0,34.240362811791385,10,0,1
swift,2011,3.0,4.99,20000,0,39.879759519038075,12,0,1
swift,2013,4.15,5.87,55138,0,29.301533219761495,10,0,1
swift,2017,6.0,6.49,16200,0,7.550077041602468,6,0,1
alto k10,2010,1.95,3.95,44542,0,50.632911392405056,13,0,1
ciaz,2015,7.45,10.38,45000,0,28.227360308285164,8,1,0
ritz,2012,3.1,5.98,51439,0,48.16053511705686,11,1,0
ritz,2011,2.35,4.89,54200,0,51.94274028629856,12,0,1
swift,2014,4.95,7.49,39000,0,33.91188251001335,9,1,0
ertiga,2014,6.0,9.95,45000,0,39.69849246231155,9,1,0
dzire,2014,5.5,8.06,45000,0,31.761786600496283,9,1,0
sx4,2011,2.95,7.74,49998,0,61.88630490956072,12,0,0
dzire,2015,4.65,7.2,48767,0,35.416666666666664,8,0,1
800,2003,0.35,2.28,127000,0,84.64912280701753,20,0,1
alto k10,2016,3.0,3.76,10079,0,20.212765957446805,7,0,1
sx4,2003,2.25,7.98,62000,0,71.80451127819549,20,0,1
baleno,2016,5.85,7.87,24524,0,25.66709021601017,7,0,1
alto k10,2014,2.55,3.98,46706,0,35.92964824120604,9,0,1
sx4,2008,1.95,7.15,58000,0,72.72727272727273,15,0,1
dzire,2014,5.5,8.06,45780,0,31.761786600496283,9,1,0
omni,2012,1.25,2.69,50000,0,53.53159851301115,11,0,1
ciaz,2014,7.5,12.04,15000,0,37.707641196013284,9,0,1
ritz,2013,2.65,4.89,64532,0,45.807770961145195,10,0,1
wagon r,2006,1.05,4.15,65000,0,74.6987951807229,17,0,1
ertiga,2015,5.8,7.71,25870,0,24.77302204928664,8,0,1
ciaz,2017,7.75,9.29,37000,0,16.576964477933252,6,0,1
fortuner,2012,14.9,30.61,104707,0,51.32309702711532,11,1,0
fortuner,2015,23.0,30.61,40000,0,24.861156484808884,8,1,0
innova,2017,18.0,19.77,15000,0,8.952959028831561,6,1,0
fortuner,2013,16.0,30.61,135000,0,47.729500163345314,10,1,0
innova,2005,2.75,10.21,90000,0,73.06562193927523,18,0,1
corolla altis,2009,3.6,15.04,70000,0,76.06382978723404,14,0,1
etios cross,2015,4.5,7.27,40534,0,38.101788170563964,8,0,1
corolla altis,2010,4.75,18.54,50000,0,74.3797195253506,13,0,1
etios g,2014,4.1,6.8,39485,1,39.70588235294118,9,0,1
fortuner,2014,19.99,35.96,41000,0,44.410456062291445,9,1,0
corolla altis,2013,6.95,18.61,40001,0,62.65448683503493,10,0,1
etios cross,2015,4.5,7.7,40588,0,41.55844155844156,8,0,1
fortuner,2014,18.75,35.96,78000,0,47.858731924360406,9,1,0
fortuner,2015,23.5,35.96,47000,0,34.64961067853171,8,1,0
fortuner,2017,33.0,36.23,6000,0,8.915263593706864,6,1,0
etios liva,2014,4.75,6.95,45000,0,31.654676258992808,9,1,0
innova,2017,19.75,23.15,11000,0,14.686825053995674,6,0,1
fortuner,2010,9.25,20.45,59000,0,54.76772616136919,13,1,0
corolla altis,2011,4.35,13.74,88000,0,68.3406113537118,12,0,1
corolla altis,2016,14.25,20.91,12000,0,31.85078909612626,7,0,1
etios liva,2014,3.95,6.76,71000,0,41.5680473372781,9,1,0
corolla altis,2011,4.5,12.48,45000,0,63.9423076923077,12,1,0
corolla altis,2013,7.45,18.61,56001,0,59.967759269210106,10,0,1
etios liva,2011,2.65,5.71,43000,0,53.59019264448336,12,0,1
etios cross,2014,4.9,8.93,83000,0,45.128779395296746,9,1,0
etios g,2015,3.95,6.8,36000,0,41.91176470588235,8,0,1
corolla altis,2013,5.5,14.68,72000,0,62.53405994550408,10,0,1
corolla,2004,1.5,12.35,135154,0,87.85425101214574,19,0,1
corolla altis,2010,5.25,22.83,80000,0,77.00394218134034,13,0,1
fortuner,2012,14.5,30.61,89000,0,52.62985952303168,11,1,0
corolla altis,2016,14.73,14.89,23000,0,1.0745466756212232,7,1,0
etios gd,2015,4.75,7.85,40000,0,39.49044585987261,8,1,0
innova,2017,23.0,25.39,15000,0,9.413154785348564,6,1,0
innova,2015,12.5,13.46,38000,0,7.132243684992575,8,1,0
innova,2005,3.49,13.46,197176,0,74.07132243684993,18,1,0
camry,2006,2.5,23.73,142000,3,89.46481247366204,17,0,1
land cruiser,2010,35.0,92.6,78000,0,62.20302375809935,13,1,0
corolla altis,2012,5.9,13.74,56000,0,57.05967976710335,11,0,1
etios liva,2013,3.45,6.05,47000,0,42.97520661157024,10,0,1
etios g,2014,4.75,6.76,40000,0,29.733727810650883,9,0,1
corolla altis,2009,3.8,18.61,62000,0,79.58087049973133,14,0,1
innova,2014,11.25,16.09,58242,0,30.080795525170913,9,1,0
innova,2005,3.51,13.7,75000,0,74.37956204379562,18,0,1
fortuner,2015,23.0,30.61,40000,0,24.861156484808884,8,1,0
corolla altis,2008,4.0,22.78,89000,0,82.44073748902547,15,0,1
corolla altis,2012,5.85,18.61,72000,0,68.56528747984954,11,0,1
innova,2016,20.75,25.39,29000,0,18.27491138243403,7,1,0
corolla altis,2017,17.0,18.64,8700,0,8.798283261802577,6,0,1
corolla altis,2013,7.05,18.61,45000,0,62.117141321869966,10,0,1
fortuner,2010,9.65,20.45,50024,0,52.81173594132029,13,1,0
Royal Enfield Thunder 500,2016,1.75,1.9,3000,0,7.894736842105258,7,0,1
UM Renegade Mojave,2017,1.7,1.82,1400,0,6.593406593406599,6,0,1
KTM RC200,2017,1.65,1.78,4000,0,7.303370786516861,6,0,1
Bajaj Dominar 400,2017,1.45,1.6,1200,0,9.375000000000009,6,0,1
Royal Enfield Classic 350,2017,1.35,1.47,4100,0,8.163265306122442,6,0,1
KTM RC390,2015,1.35,2.37,21700,0,43.0379746835443,8,0,1
Hyosung GT250R,2014,1.35,3.45,16500,1,60.86956521739131,9,0,1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,0,16.666666666666664,10,0,1
Royal Enfield Thunder 350,2016,1.2,1.5,18000,0,20.000000000000004,7,0,1
Royal Enfield Classic 350,2017,1.2,1.47,11000,0,18.367346938775512,6,0,1
KTM RC200,2016,1.2,1.78,6000,0,32.58426966292135,7,0,1
Royal Enfield Thunder 350,2016,1.15,1.5,8700,0,23.33333333333334,7,0,1
KTM 390 Duke ,2014,1.15,2.4,7000,0,52.083333333333336,9,0,1
Mahindra Mojo XT300,2016,1.15,1.4,35000,0,17.857142857142858,7,0,1
Royal Enfield Classic 350,2015,1.15,1.47,17000,0,21.768707482993204,8,0,1
Royal Enfield Classic 350,2015,1.11,1.47,17500,0,24.48979591836734,8,0,1
Royal Enfield Classic 350,2013,1.1,1.47,33000,0,25.170068027210878,10,0,1
Royal Enfield Thunder 500,2015,1.1,1.9,14000,0,42.105263157894726,8,0,1
Royal Enfield Classic 350,2015,1.1,1.47,26000,0,25.170068027210878,8,0,1
Royal Enfield Thunder 500,2013,1.05,1.9,5400,0,44.73684210526315,10,0,1
Bajaj Pulsar RS200,2016,1.05,1.26,5700,0,16.666666666666664,7,0,1
Royal Enfield Thunder 350,2011,1.05,1.5,6900,0,30.0,12,0,1
Royal Enfield Bullet 350,2016,1.05,1.17,6000,0,10.256410256410248,7,0,1
Royal Enfield Classic 350,2013,1.0,1.47,46500,0,31.972789115646254,10,0,1
Royal Enfield Classic 500,2012,0.95,1.75,11500,0,45.714285714285715,11,0,1
Royal Enfield Classic 500,2009,0.9,1.75,40000,0,48.57142857142857,14,0,1
Bajaj Avenger 220,2017,0.9,0.95,1300,0,5.263157894736835,6,0,1
Bajaj Avenger 150,2016,0.75,0.8,7000,0,6.250000000000005,7,0,1
Honda CB Hornet 160R,2017,0.8,0.87,3000,0,8.045977011494248,6,0,1
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,0,7.142857142857137,6,0,1
Honda CB Hornet 160R,2017,0.75,0.87,11000,0,13.793103448275861,6,0,1
Yamaha FZ 16,2015,0.75,0.82,18000,0,8.536585365853654,8,0,1
Bajaj Avenger 220,2017,0.75,0.95,3500,0,21.052631578947363,6,0,1
Bajaj Avenger 220,2016,0.72,0.95,500,0,24.210526315789473,7,0,1
TVS Apache RTR 160,2017,0.65,0.81,11800,0,19.75308641975309,6,0,1
Bajaj Pulsar 150,2015,0.65,0.74,5000,0,12.162162162162158,8,0,1
Honda CBR 150,2014,0.65,1.2,23500,0,45.83333333333333,9,0,1
Hero Extreme,2013,0.65,0.787,16000,0,17.407878017789074,10,0,1
Honda CB Hornet 160R,2016,0.6,0.87,15000,0,31.03448275862069,7,0,1
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,0,36.84210526315789,8,0,1
Honda CBR 150,2013,0.6,1.2,32000,0,50.0,10,0,1
Bajaj Avenger 150 street,2016,0.6,0.8,20000,0,25.000000000000007,7,0,1
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,0,28.57142857142857,8,0,1
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,0,28.57142857142857,7,0,1
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,0,39.3939393939394,9,0,1
TVS Apache RTR 160,2012,0.6,0.81,19000,0,25.925925925925934,11,0,1
Hero Extreme,2014,0.55,0.787,15000,0,30.114358322744593,9,0,1
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,0,34.52380952380952,8,0,1
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,0,44.68085106382978,13,0,1
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,0,45.744680851063826,7,0,1
TVS Apache RTR 180,2011,0.5,0.826,6000,0,39.46731234866828,12,0,1
Hero Passion X pro,2016,0.5,0.55,31000,0,9.090909090909099,7,0,1
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,0,49.494949494949495,11,0,1
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,0,49.494949494949495,10,0,1
Yamaha Fazer ,2014,0.5,0.88,8000,0,43.18181818181818,9,0,1
Honda Activa 4G,2017,0.48,0.51,4300,0,5.8823529411764754,6,0,1
TVS Sport ,2017,0.48,0.52,15000,0,7.692307692307699,6,0,1
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,0,42.857142857142854,8,0,1
Honda Dream Yuga ,2017,0.48,0.54,8600,0,11.11111111111112,6,0,1
Honda Activa 4G,2017,0.45,0.51,4000,0,11.76470588235294,6,0,1
Bajaj Avenger Street 220,2011,0.45,0.95,24000,0,52.63157894736842,12,0,1
TVS Apache RTR 180,2014,0.45,0.826,23000,0,45.52058111380145,9,0,1
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,0,54.545454545454554,11,0,1
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,0,52.63157894736842,13,0,1
Hero Splender iSmart,2016,0.45,0.54,14000,0,16.66666666666667,7,0,1
Activa 3g,2016,0.45,0.54,500,0,16.66666666666667,7,0,1
Hero Passion Pro,2016,0.45,0.55,1000,0,18.181818181818183,7,0,1
TVS Apache RTR 160,2014,0.42,0.81,42000,0,48.14814814814815,9,0,1
Honda CB Trigger,2013,0.42,0.73,12000,0,42.465753424657535,10,0,1
Hero Splender iSmart,2015,0.4,0.54,14000,0,25.925925925925924,8,0,1
Yamaha FZ S ,2012,0.4,0.83,5500,0,51.80722891566265,11,0,1
Hero Passion Pro,2015,0.4,0.55,6700,0,27.272727272727277,8,0,1
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,0,37.5,9,0,1
Activa 4g,2017,0.4,0.51,1300,0,21.56862745098039,6,0,1
Honda CB Unicorn,2015,0.38,0.72,38600,0,47.22222222222222,8,0,1
Hero Honda CBZ extreme,2011,0.38,0.787,75000,0,51.715374841168995,12,0,1
Honda Karizma,2011,0.35,1.05,30000,0,66.66666666666667,12,0,1
Honda Activa 125,2016,0.35,0.57,24000,0,38.59649122807017,7,0,1
TVS Jupyter,2014,0.35,0.52,19000,0,32.6923076923077,9,0,1
Honda Karizma,2010,0.31,1.05,213000,0,70.47619047619047,13,0,1
Hero Honda Passion Pro,2012,0.3,0.51,60000,0,41.1764705882353,11,0,1
Hero Splender Plus,2016,0.3,0.48,50000,0,37.5,7,0,1
Honda CB Shine,2013,0.3,0.58,30000,0,48.275862068965516,10,0,1
Bajaj Discover 100,2013,0.27,0.47,21000,0,42.553191489361694,10,0,1
Bajaj Pulsar 150,2008,0.25,0.75,26000,1,66.66666666666666,15,0,1
Suzuki Access 125,2008,0.25,0.58,1900,0,56.89655172413792,15,0,1
TVS Wego,2010,0.25,0.52,22000,0,51.92307692307693,13,0,1
Honda CB twister,2013,0.25,0.51,32000,0,50.98039215686274,10,0,1
Hero Glamour,2013,0.25,0.57,18000,0,56.14035087719298,10,0,1
Hero Super Splendor,2005,0.2,0.57,55000,0,64.91228070175438,18,0,1
Bajaj Pulsar 150,2008,0.2,0.75,60000,0,73.33333333333334,15,0,1
Bajaj Discover 125,2012,0.2,0.57,25000,1,64.91228070175438,11,0,1
Hero Hunk,2007,0.2,0.75,49000,1,73.33333333333334,16,0,1
Hero  Ignitor Disc,2013,0.2,0.65,24000,1,69.23076923076923,10,0,1
Hero  CBZ Xtreme,2008,0.2,0.787,50000,0,74.58703939008893,15,0,1
Bajaj  ct 100,2015,0.18,0.32,35000,0,43.75000000000001,8,0,1
Activa 3g,2008,0.17,0.52,500000,0,67.3076923076923,15,0,1
Honda CB twister,2010,0.16,0.51,33000,0,68.62745098039214,13,0,1
Bajaj Discover 125,2011,0.15,0.57,35000,1,73.68421052631578,12,0,1
Honda CB Shine,2007,0.12,0.58,53000,0,79.3103448275862,16,0,1
Bajaj Pulsar 150,2006,0.1,0.75,92233,0,86.66666666666667,17,0,1
i20,2010,3.25,6.79,58000,1,52.13549337260678,13,1,0
grand i10,2015,4.4,5.7,28200,0,22.807017543859644,8,0,1
i10,2011,2.95,4.6,53460,0,35.8695652173913,12,0,1
eon,2015,2.75,4.43,28282,0,37.92325056433408,8,0,1
grand i10,2016,5.25,5.7,3493,1,7.8947368421052655,7,0,1
xcent,2017,5.75,7.13,12479,0,19.35483870967742,6,0,1
grand i10,2015,5.15,5.7,34797,0,9.649122807017541,8,0,1
i20,2017,7.9,8.1,3435,0,2.469135802469127,6,0,1
grand i10,2015,4.85,5.7,21125,0,14.912280701754394,8,1,0
i10,2012,3.1,4.6,35775,0,32.60869565217391,11,0,1
elantra,2015,11.75,14.79,43535,0,20.554428668018925,8,1,0
creta,2016,11.25,13.6,22671,0,17.27941176470588,7,0,1
i20,2011,2.9,6.79,31604,0,57.2901325478645,12,0,1
grand i10,2017,5.25,5.7,20114,0,7.8947368421052655,6,0,1
verna,2012,4.5,9.4,36100,0,52.12765957446809,11,0,1
eon,2016,2.9,4.43,12500,0,34.5372460496614,7,0,1
eon,2016,3.15,4.43,15000,0,28.893905191873586,7,0,1
verna,2014,6.45,8.4,45078,0,23.214285714285715,9,0,1
verna,2012,4.5,9.4,36000,0,52.12765957446809,11,0,1
eon,2017,3.5,5.43,38488,0,35.543278084714544,6,0,1
i20,2013,4.5,6.79,32000,0,33.726067746686304,10,0,1
i20,2014,6.0,7.6,77632,0,21.052631578947363,9,1,0
verna,2015,8.25,9.4,61381,0,12.234042553191493,8,1,0
verna,2013,5.11,9.4,36198,0,45.638297872340424,10,0,1
i10,2011,2.7,4.6,22517,0,41.304347826086946,12,0,1
grand i10,2015,5.25,5.7,24678,0,7.8947368421052655,8,0,1
i10,2011,2.55,4.43,57000,0,42.43792325056434,12,0,1
verna,2012,4.95,9.4,60000,0,47.340425531914896,11,1,0
i20,2012,3.1,6.79,52132,0,54.34462444771723,11,1,0
verna,2013,6.15,9.4,45000,0,34.57446808510638,10,1,0
verna,2017,9.25,9.4,15001,0,1.5957446808510676,6,0,1
elantra,2015,11.45,14.79,12900,0,22.58282623394185,8,0,1
grand i10,2013,3.9,5.7,53000,0,31.578947368421055,10,1,0
grand i10,2015,5.5,5.7,4492,0,3.5087719298245648,8,0,1
verna,2017,9.1,9.4,15141,0,3.191489361702135,6,0,1
eon,2016,3.1,4.43,11849,0,30.022573363431142,7,0,1
creta,2015,11.25,13.6,68000,0,17.27941176470588,8,1,0
verna,2013,4.8,9.4,60241,0,48.93617021276596,10,0,1
eon,2012,2.0,4.43,23709,0,54.853273137697514,11,0,1
verna,2012,5.35,9.4,32322,0,43.08510638297873,11,1,0
xcent,2015,4.75,7.13,35866,1,33.38008415147265,8,0,1
xcent,2014,4.4,7.13,34000,0,38.28892005610098,9,0,1
i20,2016,6.25,7.6,7000,0,17.76315789473684,7,0,1
verna,2013,5.95,9.4,49000,0,36.702127659574465,10,1,0
verna,2012,5.2,9.4,71000,0,44.680851063829785,11,1,0
i20,2012,3.75,6.79,35000,0,44.77172312223859,11,0,1
verna,2015,5.95,9.4,36000,0,36.702127659574465,8,0,1
i10,2013,4.0,4.6,30000,0,13.04347826086956,10,0,1
i20,2016,5.25,7.6,17000,0,30.921052631578945,7,0,1
creta,2016,12.9,13.6,35934,0,5.147058823529407,7,1,0
city,2013,5.0,9.9,56701,0,49.494949494949495,10,0,1
brio,2015,5.4,6.82,31427,0,20.821114369501466,8,0,1
city,2014,7.2,9.9,48000,0,27.272727272727277,9,1,0
city,2013,5.25,9.9,54242,0,46.96969696969697,10,0,1
brio,2012,3.0,5.35,53675,0,43.92523364485981,11,0,1
city,2016,10.25,13.6,49562,0,24.632352941176467,7,0,1
city,2015,8.5,13.6,40324,0,37.5,8,0,1
city,2015,8.4,13.6,25000,0,38.23529411764706,8,0,1
amaze,2014,3.9,7.0,36054,0,44.28571428571429,9,0,1
city,2016,9.15,13.6,29223,0,32.720588235294116,7,0,1
brio,2016,5.5,5.97,5600,0,7.872696817420431,7,0,1
amaze,2015,4.0,5.8,40023,0,31.034482758620683,8,0,1
jazz,2016,6.6,7.7,16002,0,14.285714285714294,7,0,1
amaze,2015,4.0,7.0,40026,0,42.857142857142854,8,0,1
jazz,2017,6.5,8.7,21200,0,25.28735632183907,6,0,1
amaze,2014,3.65,7.0,35000,0,47.85714285714286,9,0,1
city,2016,8.35,9.4,19434,0,11.170212765957455,7,1,0
brio,2017,4.8,5.8,19000,0,17.24137931034483,6,0,1
city,2015,6.7,10.0,18828,0,32.99999999999999,8,0,1
city,2011,4.1,10.0,69341,0,59.00000000000001,12,0,1
city,2009,3.0,10.0,69562,0,70.0,14,0,1
city,2015,7.5,10.0,27600,0,25.0,8,0,1
jazz,2010,2.25,7.5,61203,0,70.0,13,0,1
brio,2014,5.3,6.8,16500,0,22.058823529411764,9,0,1
city,2016,10.9,13.6,30753,0,19.852941176470583,7,0,1
city,2015,8.65,13.6,24800,0,36.39705882352941,8,0,1
city,2015,9.7,13.6,21780,0,28.676470588235297,8,0,1
jazz,2016,6.0,8.4,4000,0,28.571428571428577,7,0,1
city,2014,6.25,13.6,40126,0,54.04411764705882,9,0,1
brio,2015,5.25,5.9,14465,0,11.016949152542379,8,0,1
city,2006,2.1,7.6,50456,0,72.36842105263158,17,0,1
city,2014,8.25,14.0,63000,0,41.07142857142857,9,1,0
city,2016,8.99,11.8,9010,0,23.8135593220339,7,0,1
brio,2013,3.5,5.9,9800,0,40.67796610169492,10,0,1
jazz,2016,7.4,8.5,15059,0,12.94117647058823,7,0,1
jazz,2016,5.65,7.9,28569,0,28.481012658227844,7,0,1
amaze,2015,5.75,7.5,44000,0,23.333333333333332,8,0,1
city,2015,8.4,13.6,34000,0,38.23529411764706,8,0,1
city,2016,10.11,13.6,10980,0,25.661764705882355,7,0,1
amaze,2014,4.5,6.4,19000,0,29.687500000000007,9,0,1
brio,2015,5.4,6.1,31427,0,11.475409836065563,8,0,1
jazz,2016,6.4,8.4,12000,0,23.809523809523807,7,0,1
city,2010,3.25,9.9,38000,0,67.17171717171718,13,0,1
amaze,2014,3.75,6.8,33019,0,44.85294117647059,9,0,1
city,2015,8.55,13.09,60076,0,34.682964094728796,8,1,0
city,2016,9.5,11.6,33988,0,18.103448275862068,7,1,0
brio,2015,4.0,5.9,60000,0,32.20338983050848,8,0,1
city,2009,3.35,11.0,87934,0,69.54545454545455,14,0,1
city,2017,11.5,12.5,9000,0,8.0,6,1,0
brio,2016,5.3,5.9,5464,0,10.169491525423737,7,0,1
